id,smiles
http://www.wikidata.org/entity/Q27076966,CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC
http://www.wikidata.org/entity/Q105185497,CC(=O)OC[C@H]1O[C@]23Oc4cccc(O)c4[C@](O)(c4c(O)cc(C)c(c42)OC1(C)C)[C@H]3C
http://www.wikidata.org/entity/Q77421636,C[C@H](O)CCC[C@@H]1CCC/C=C/[C@@H](O)[C@@H](C)C(=O)O1
http://www.wikidata.org/entity/Q105368878,CC(C)=CCOc1ccc(C2=C(O)C(=O)C(c3ccc(O)cc3)=C(O)C2=O)cc1
http://www.wikidata.org/entity/Q105264115,CCC(=O)c1c(OC(C)(C)[C@H]2CO2)c(C)cc2oc3cccc(O)c3c(=O)c12
http://www.wikidata.org/entity/Q27134205,CCCC[C@@H](C)C1=C(O)C(=O)[C@@H]2C[C@H](C)C[C@H](C(=O)O)[C@H]2[C@]1(C)C(=O)CCO
http://www.wikidata.org/entity/Q77370809,CC(=O)OCCCCC[C@H]1OC(=O)[C@H](C)[C@H](O)/C=C/CC[C@@H]1O
http://www.wikidata.org/entity/Q104920145,CCCCCCCC=CC=CC(O)=CC(=O)C(O)[C@@H](O)CO
http://www.wikidata.org/entity/Q105339921,CC(O)CC=CC(=O)O
http://www.wikidata.org/entity/Q77512950,CCCCC[C@H]1OC(=O)[C@H](C)[C@H](OC(C)=O)/C=C\CC[C@@H]1OC(C)=O
